Personal income,    Compensation of employees,        Wages and salaries,            Private industries,            Government,        Supplements to wages and salaries,            Employer contributions for employee pension and insurance funds 1,            Employer contributions for government social insurance,    Proprietors' income with inventory valuation and capital consumption adjustments,        Farm,        Nonfarm,    Rental income of persons with capital consumption adjustment,    Personal income receipts on assets,        Personal interest income,        Personal dividend income,    Personal current transfer receipts,        Government social benefits to persons,            Social security 2,            Medicare 3,            Medicaid,            Unemployment insurance,            Veterans' benefits,            Other,"        Other current transfer receipts, from business (net)","    Less: Contributions for government social insurance, domestic",Less: Personal current taxes,Equals: Disposable personal income,Less: Personal outlays,    Personal consumption expenditures,    Personal interest payments 4,    Personal current transfer payments,        To government,        To the rest of the world (net),Equals: Personal saving,    Personal saving as a percentage of disposable personal income,"    Personal income excluding current transfer receipts, billions of chained (2009) dollars 5","        Total, billions of chained (2009) dollars 5",            Current dollars,            Chained (2009) dollars,"    Population (midperiod, thousands)","        Disposable personal income, current dollars","        Disposable personal income, chained (2009) dollars"
5904.1,3997.2,3224.6,2616.2,608.4,772.6,519.2,253.3,456.9,36.7,420.3,117.4,1016.1,783,233,822.9,810.1,311.8,162.2,137.1,24.4,19.6,155,12.8,506.4,697.8,5206.2,4872,4702.9,119.5,49.6,30.7,18.9,334.3,6.4,6816.1,6983.8,19794,26552,263020,6.6,4.3
5969.9,4035.1,3258,2646.2,611.8,777,521.8,255.3,459.7,32.1,427.5,120.7,1038.1,798.9,239.2,826.9,813.6,313,167.1,136.2,22.1,19.8,155.6,13.2,510.6,695.4,5274.5,4948.2,4773.1,124.8,50.3,31.2,19.1,326.3,6.2,6850.2,7025.3,19989,26624,263870,5.4,2.4
6078.4,4091,3310.9,2694.4,616.5,780.1,521.6,258.6,468.5,28,440.4,119,1069.3,825.7,243.6,848,833.8,315.1,171.6,147.8,21.3,19.8,158.1,14.2,517.4,705.4,5373,5025.4,4847.2,127.4,50.9,31.6,19.3,347.6,6.5,6934,7123,20300,26912,264678,7.7,5.7
6174.8,4141.3,3360.6,2735.7,624.9,780.8,519.9,260.8,470.5,20.3,450.2,122.2,1092.6,845.6,246.9,874,857.9,324.8,175.7,152.5,20.9,20.6,163.5,16,525.7,724.5,5450.3,5065.6,4883.3,131.5,50.8,31.9,18.9,384.6,7.1,6993.7,7190.9,20537,27096,265388,5.9,3.9
6240.2,4177.6,3395.3,2767.7,627.6,782.3,519.5,262.9,475.2,18.4,456.8,126.1,1108.1,855.6,252.4,883.5,865.6,327.5,179.6,152.5,21.6,20.5,164,17.8,530.1,746.7,5493.5,5147.6,4955,141.3,51.3,32.3,18.9,345.9,6.3,7027.9,7207.3,20641,27080,266142,3.2,0.9
6317,4223.7,3438.2,2808,630.2,785.4,520.1,265.3,487.8,21.4,466.4,130.2,1120.4,859.7,260.7,890.4,870.7,328.6,183.2,152.7,22,20.6,163.7,19.6,535.3,752.2,5564.8,5219.4,5020.5,145.9,53,32.9,20.2,345.5,6.2,7091.1,7271.7,20842,27235,267000,5.3,3.6
6391.8,4268,3478,2844.6,633.4,790,522.5,267.5,504.4,28,476.3,138.3,1135.1,863.3,271.9,886,864.6,329.8,186.5,140.7,22.5,20.5,164.7,21.4,540,770.2,5621.6,5286,5077.9,151.6,56.5,33.5,23,335.6,6,7163,7313.7,20990,27308,267820,4.1,2.3
6508.9,4321.4,3525.9,2884.4,641.5,795.5,525.9,269.6,526.8,36.9,489.9,143.9,1145,859.9,285.1,916,893.2,339.1,189.6,151.3,23,21.4,168.8,22.8,544.2,801.7,5707.2,5363,5153.8,153.7,55.5,34,21.4,344.3,6,7235.8,7383.7,21257,27501,268487,6.2,3.9
6639.4,4393.5,3590.6,2944.3,646.3,802.8,529.4,273.4,551,44.2,506.9,146,1164.5,867.1,297.4,936.4,912.9,341.4,192.9,165.8,22.7,21.7,168.4,23.5,552.1,839.5,5799.8,5458.2,5244.1,156.7,57.3,34.6,22.7,341.7,5.9,7329.8,7454.3,21541,27685,269251,6.6,3.9
6714.6,4455.7,3646.7,2996.5,650.1,809,532.5,276.5,551.1,33.5,517.6,148,1186.7,878.4,308.3,931.8,908.5,342.6,196.5,158.8,21.6,21.3,167.7,23.2,558.7,843.6,5871.1,5517.8,5298.3,161.3,58.2,35.2,22.9,353.3,6,7400.8,7513.7,21734,27815,270128,5,3.2
