    Gross domestic product,    Gross national product,    Personal income,    Disposable personal income,    Personal consumption expenditures,        Goods,            Durable goods,            Nondurable goods,        Services,    Gross domestic product,    Gross national product,    Disposable personal income,    Personal consumption expenditures,        Goods,            Durable goods,            Nondurable goods,        Services,"Population (midperiod, thousands)"
12313,12471,9925,8640,7515,3421,932,2489,4095,28113,28515,19892,17303,5252,938,4856,12147,227389
12540,12691,10248,8923,7751,3516,988,2528,4235,27987,28366,20074,17437,5290,976,4830,12246,228070
13090,13215,10692,9297,8026,3618,1033,2585,4407,28428,28742,20413,17620,5335,1003,4836,12394,228689
13667,13804,10927,9483,8251,3753,1074,2680,4497,28957,29290,20316,17677,5401,1030,4869,12341,229155
13790,13921,11109,9617,8368,3761,1049,2712,4607,28681,28995,20266,17634,5346,987,4879,12391,229674
14161,14303,11497,9947,8516,3826,1094,2732,4690,28931,29262,20624,17657,5385,1015,4877,12346,230301
14220,14383,11619,10092,8558,3779,1026,2753,4779,28519,28886,20611,17479,5275,939,4883,12325,230903
14148,14304,11734,10210,8705,3830,1065,2765,4875,27982,28330,20592,17557,5317,967,4881,12347,231395
14365,14541,11895,10344,8801,3829,1075,2754,4972,28073,28458,20665,17583,5304,969,4862,12403,231906
14482,14633,12042,10536,8986,3879,1084,2795,5107,27900,28231,20723,17674,5318,974,4870,12490,232498
14621,14767,12204,10674,9229,3952,1134,2818,5277,27859,28178,20765,17952,5412,1016,4908,12667,233074
14902,15048,12339,10837,9380,3965,1151,2813,5415,28167,28482,20901,18090,5429,1024,4914,12806,233546
15314,15471,12528,10992,9634,4113,1237,2876,5520,28750,29084,21006,18410,5578,1096,4962,12942,234028
15738,15900,12749,11277,9907,4223,1289,2934,5684,29241,29581,21270,18687,5688,1136,5025,13092,234603
16143,16312,13082,11570,10107,4320,1358,2962,5787,29774,30125,21678,18937,5808,1189,5074,13193,235153
16607,16765,13444,11911,10283,4405,1407,2998,5878,30307,30635,22078,19061,5875,1232,5077,13230,235605
17007,17166,13771,12202,10510,4505,1446,3060,6005,30777,31106,22400,19294,5994,1258,5178,13313,236082
17271,17429,14058,12435,10647,4507,1445,3062,6140,31005,31330,22652,19395,5983,1255,5169,13453,236657
17483,17623,14254,12585,10829,4580,1492,3089,6248,31176,31469,22783,19604,6062,1293,5196,13575,237232
17827,17935,14501,12682,11124,4672,1548,3124,6452,31428,31663,22687,19900,6144,1335,5218,13795,237673
