        Gross domestic product,Personal consumption expenditures,    Goods,        Durable goods,        Nondurable goods,    Services,Gross private domestic investment,    Fixed investment,        Nonresidential,            Structures,            Equipment,            Intellectual property products,        Residential,    Change in private inventories,Net exports of goods and services,    Exports,        Goods,        Services,    Imports,        Goods,        Services,Government consumption expenditures and gross investment,    Federal,        National defense,        Nondefense,    State and local
33.868,32.7,49.163,80.015,37.586,25.306,44.739,43.677,53.433,21.707,81.41,52.425,26.219,---,---,57.077,66.678,36.171,48.218,51.556,36.009,27.774,33.227,32.776,33.82,24.237
34.411,33.285,49.941,80.838,38.274,25.807,45.647,44.592,54.473,22.395,82.733,52.83,26.862,---,---,57.729,67.516,36.407,49.91,53.544,36.65,28.231,33.656,33.244,34.165,24.709
34.952,33.855,50.647,81.249,38.976,26.318,46.491,45.424,55.294,22.799,83.952,53.372,27.587,---,---,58.583,68.428,37.153,51.292,55.122,37.328,28.641,33.999,33.582,34.516,25.156
35.437,34.366,51.174,82.094,39.38,26.826,47.4,46.433,56.253,23.314,85.303,53.978,28.501,---,---,58.293,67.768,37.713,51.97,55.789,38.038,28.979,34.178,33.74,34.737,25.592
36.034,34.859,51.801,83.192,39.841,27.26,48.353,47.432,57.229,23.805,86.744,54.59,29.385,---,---,58.571,67.864,38.399,52.501,56.221,38.91,29.639,35.191,34.848,35.545,26.029
36.637,35.439,52.507,84.385,40.372,27.786,49.273,48.335,58.078,24.316,87.767,55.339,30.23,---,---,59.718,69.244,39.04,53.38,57.194,39.451,30.049,35.659,35.364,35.913,26.401
37.338,36.17,53.619,85.672,41.341,28.345,50.272,49.333,59.044,24.995,88.826,56.015,31.131,---,---,61.206,71.045,39.842,54.674,58.57,40.444,30.464,36.049,35.774,36.259,26.828
37.987,36.806,54.495,87.059,42.021,28.874,51.263,50.295,60.011,25.609,89.935,56.838,31.964,---,---,62.209,72.129,40.675,55.584,59.311,41.945,30.907,36.555,36.308,36.704,27.231
38.759,37.502,55.433,88.583,42.739,29.462,52.309,51.3,61.045,26.307,91.02,57.758,32.806,---,---,64.25,74.8,41.303,56.559,60.318,42.794,31.478,37.436,37.171,37.614,27.606
39.47,38.205,56.772,90.021,43.932,29.876,53.374,52.367,62.328,27.041,92.71,58.65,33.469,---,---,66.142,77.364,41.69,58.767,62.867,43.765,32.104,37.949,37.691,38.106,28.299
40.411,39.246,58.407,91.605,45.422,30.65,54.716,53.701,63.699,27.87,94.4,59.712,34.611,---,---,68.834,80.755,42.83,61.822,66.337,45.321,32.683,38.458,38.21,38.593,28.917
41.235,40.217,59.923,92.657,46.894,31.377,56.054,54.994,65.042,28.733,95.943,60.758,35.712,---,---,70.446,82.553,44.038,66.433,71.658,47.39,33.554,39.143,38.959,39.143,29.9
